_unit_id,_created_at,_golden,_id,_missed,_started_at,_tainted,_channel,_trust,_worker_id,_country,_region,_city,_ip,copy_and_paste_the_corresponding_french_marker_enter_a_period_if_there_is_none_,_contention,_copy_and_paste_the_corresponding_french_connective_enter_a_period_if_there_is_none_,_gold_pool,_hidden,orig__id,_judgments,_pct_contested,_pct_missed,copy_and_paste_the_corresponding_french_connective_enter_a_period_if_there_is_none__gold,copy_and_paste_the_corresponding_french_connective_enter_a_period_if_there_is_none__gold_reason,copy_and_paste_the_corresponding_french_marker_enter_a_period_if_there_is_none__gold,en,fr
1087829665,11/17/2016 23:08:41,false,2229300514,,11/17/2016 22:55:46,false,clixsense,0.7273,37902593,RUS,56,Orël,109.61.177.14,comme,,,,,,,,,,,,"If the House agrees, I shall do <b>as</b> Mr Evans has suggested.","Si l'<sub>1</sub>Assemblée en est d'accord, je ferai comme M. Evans l'<sub>2</sub>a suggéré."
1087829665,11/18/2016 00:04:39,false,2229352226,,11/18/2016 00:02:32,false,clixsense,0.875,37100626,FRA,,,91.160.16.211,comme,,,,,,,,,,,,"If the House agrees, I shall do <b>as</b> Mr Evans has suggested.","Si l'<sub>1</sub>Assemblée en est d'accord, je ferai comme M. Evans l'<sub>2</sub>a suggéré."
1087829665,11/18/2016 00:30:47,false,2229375331,,11/18/2016 00:20:40,false,neodev,0.8182,39901165,TUN,,,41.227.52.81,comme,,,,,,,,,,,,"If the House agrees, I shall do <b>as</b> Mr Evans has suggested.","Si l'<sub>1</sub>Assemblée en est d'accord, je ferai comme M. Evans l'<sub>2</sub>a suggéré."
1087829665,11/18/2016 01:38:33,false,2229436947,,11/18/2016 01:34:25,false,neodev,0.7778,37096855,PHL,,,112.198.103.142,comme,,,,,,,,,,,,"If the House agrees, I shall do <b>as</b> Mr Evans has suggested.","Si l'<sub>1</sub>Assemblée en est d'accord, je ferai comme M. Evans l'<sub>2</sub>a suggéré."
1087829665,11/18/2016 02:17:00,false,2229473810,,11/18/2016 02:12:26,false,neodev,0.875,39188908,USA,CA,Glendale,71.93.119.153,comme,,,,,,,,,,,,"If the House agrees, I shall do <b>as</b> Mr Evans has suggested.","Si l'<sub>1</sub>Assemblée en est d'accord, je ferai comme M. Evans l'<sub>2</sub>a suggéré."
1087829665,11/18/2016 07:01:31,false,2229741930,,11/18/2016 06:56:30,false,elite,0.8889,39696740,RUS,66,Saint Petersburg,85.142.125.8,comme,,,,,,,,,,,,"If the House agrees, I shall do <b>as</b> Mr Evans has suggested.","Si l'<sub>1</sub>Assemblée en est d'accord, je ferai comme M. Evans l'<sub>2</sub>a suggéré."
1087829671,11/17/2016 23:15:43,false,2229308713,,11/17/2016 23:08:42,false,clixsense,0.7273,37902593,RUS,56,Orël,109.61.177.14,si,,,,,,,,,,,,"That is precisely the time when you may, <b>if</b> you wish, raise this question, i.e. on Thursday prior to the start of the presentation of the report.","C'est exactement à ce moment-là que vous<sub>1</sub> pourrez, en effet, si vous<sub>2</sub> le<sub>1</sub> souhaitez, soulever cette question, c'est-à-dire jeudi avant le<sub>2</sub> début de la présentation du rapport."
1087829671,11/17/2016 23:24:41,false,2229316478,,11/17/2016 23:20:35,false,neodev,0.8182,39901165,TUN,,,197.15.221.211,si,,,,,,,,,,,,"That is precisely the time when you may, <b>if</b> you wish, raise this question, i.e. on Thursday prior to the start of the presentation of the report.","C'est exactement à ce moment-là que vous<sub>1</sub> pourrez, en effet, si vous<sub>2</sub> le<sub>1</sub> souhaitez, soulever cette question, c'est-à-dire jeudi avant le<sub>2</sub> début de la présentation du rapport."
1087829671,11/18/2016 00:09:31,false,2229356911,,11/18/2016 00:08:05,false,clixsense,0.875,37100626,FRA,,,91.160.16.211,si,,,,,,,,,,,,"That is precisely the time when you may, <b>if</b> you wish, raise this question, i.e. on Thursday prior to the start of the presentation of the report.","C'est exactement à ce moment-là que vous<sub>1</sub> pourrez, en effet, si vous<sub>2</sub> le<sub>1</sub> souhaitez, soulever cette question, c'est-à-dire jeudi avant le<sub>2</sub> début de la présentation du rapport."
1087829671,11/18/2016 01:45:26,false,2229443897,,11/18/2016 01:38:35,false,neodev,0.7778,37096855,PHL,,,112.198.103.142,si,,,,,,,,,,,,"That is precisely the time when you may, <b>if</b> you wish, raise this question, i.e. on Thursday prior to the start of the presentation of the report.","C'est exactement à ce moment-là que vous<sub>1</sub> pourrez, en effet, si vous<sub>2</sub> le<sub>1</sub> souhaitez, soulever cette question, c'est-à-dire jeudi avant le<sub>2</sub> début de la présentation du rapport."
